,Unnamed: 0,person_id,gt_poi,start,end,x_centroid,y_centroid,gt_labeling,dur
0,378,12_1,*,2021-12-13 10:23:35.667,2021-12-13 10:24:32.974,8.846554379243827,4.798779361352373,1,57.307
1,0,12_1,CS1,2021-12-13 10:24:43.043,2021-12-13 10:26:01.952,3.736628592432711,2.3833802468518543,2,78.909
2,1,12_1,CS2,2021-12-13 10:26:04.023,2021-12-13 10:26:37.943,5.107155655078338,2.0556909157641288,3,33.92
3,2,12_1,CS3,2021-12-13 10:26:39.014,2021-12-13 10:27:05.936,6.04280942524516,2.817772602835522,4,26.922
4,3,12_1,CN2,2021-12-13 10:27:09.007,2021-12-13 10:28:21.989,4.838879158914006,4.551172910240435,5,72.982
5,4,12_1,BS2,2021-12-13 10:28:25.095,2021-12-13 10:28:57.980,4.157737443299378,6.62762541760624,6,32.885
6,5,12_1,BS1,2021-12-13 10:29:00.086,2021-12-13 10:29:42.968,2.615126331402776,6.438265381745957,7,42.882
7,6,12_1,BN1,2021-12-13 10:29:47.074,2021-12-13 10:30:39.954,2.978800201311267,8.41526273698846,8,52.88
8,7,12_1,BN3,2021-12-13 10:30:46.060,2021-12-13 10:31:54.935,5.6666329731126375,8.564658517244553,9,68.875
9,8,12_1,AN3,2021-12-13 10:31:59.041,2021-12-13 10:32:32.926,5.8670705050705445,11.873338152098524,10,33.885
10,9,12_1,AN2,2021-12-13 10:32:41.031,2021-12-13 10:33:18.914,3.564740102246692,12.163565670474656,11,37.883
11,10,12_1,FN3,2021-12-13 10:33:44.015,2021-12-13 10:33:57.905,21.86236723645123,4.452740435821478,12,13.89
12,11,12_1,FN2,2021-12-13 10:34:01.011,2021-12-13 10:35:18.991,19.291439648594665,4.480208414417202,13,77.98
13,12,12_1,FS2,2021-12-13 10:35:26.061,2021-12-13 10:35:49.984,18.696975335131096,2.608083572537856,14,23.923
14,13,12_1,FS1,2021-12-13 10:35:50.055,2021-12-13 10:36:12.978,18.37278508163258,2.72061435297682,15,22.923
15,14,12_1,FS2,2021-12-13 10:36:16.049,2021-12-13 10:36:44.970,19.21748372460637,2.349000159538588,16,28.921
17,16,12_1,ES2,2021-12-13 10:37:02.037,2021-12-13 10:37:22.960,18.94803689148037,6.534456116132163,18,20.923
18,17,12_1,ES3,2021-12-13 10:37:27.031,2021-12-13 10:38:31.943,20.709863620602466,6.607460506486178,19,64.912
20,19,12_1,EN3,2021-12-13 10:38:51.010,2021-12-13 10:39:04.935,21.30712322683912,8.905901470017994,21,13.925
24,205,12_2,EN2,2021-12-13 11:19:44.025,2021-12-13 11:19:54.094,19.84033357059453,8.425811918114045,4,10.069
25,206,12_2,DS4,2021-12-13 11:19:58.022,2021-12-13 11:20:54.900,21.066895950971876,10.835284870393142,5,56.878
26,207,12_2,DS3,2021-12-13 11:20:56.007,2021-12-13 11:21:25.000,19.81736425973437,9.651544246344024,6,28.993
27,208,12_2,DS2,2021-12-13 11:21:27.071,2021-12-13 11:21:43.995,18.684524469404195,9.716456368563572,7,16.924
28,209,12_2,DS1,2021-12-13 11:21:46.066,2021-12-13 11:22:17.987,18.433110855473878,10.599128925062454,8,31.921
30,211,12_2,DN2,2021-12-13 11:22:33.054,2021-12-13 11:24:13.101,20.67075557739664,12.1966832055979,10,100.047
31,212,12_2,AN3,2021-12-13 11:24:28.025,2021-12-13 11:24:48.949,4.55417710004817,11.277781931247215,11,20.924
32,213,12_2,AN2,2021-12-13 11:24:52.019,2021-12-13 11:25:54.932,3.5691167528460763,11.893874228303323,12,62.913
33,214,12_2,AN1,2021-12-13 11:25:56.003,2021-12-13 11:27:05.986,2.3753475849851533,12.653316998518518,13,69.983
34,215,12_2,BN1,2021-12-13 11:27:12.056,2021-12-13 11:27:43.976,2.284104698171997,8.459834353686992,14,31.92
35,216,12_2,CN1,2021-12-13 11:27:51.046,2021-12-13 11:28:12.969,2.535315644391503,4.746385030714999,15,21.923
36,217,12_2,CN2,2021-12-13 11:28:16.040,2021-12-13 11:29:35.948,5.012653564498039,4.47340693787913,16,79.908
37,218,12_2,BS2,2021-12-13 11:29:40.019,2021-12-13 11:29:57.943,4.75280904748326,6.652144540581008,17,17.924
39,220,12_2,BS2,2021-12-13 11:30:11.011,2021-12-13 11:31:15.995,5.042952107593756,6.502430205291823,19,64.984
40,400,12_2,*,2021-12-13 11:31:23.100,2021-12-13 11:31:33.169,11.393888825886478,5.287935459979973,20,10.069
41,401,12_2,*,2021-12-13 11:31:37.097,2021-12-13 11:32:00.984,10.417738913043127,7.923757223034663,21,23.887
42,221,12_2,AS2,2021-12-13 11:32:07.089,2021-12-13 11:33:05.967,4.875510438010035,10.229250717096464,22,58.878
43,222,12_2,AS1,2021-12-13 11:33:08.074,2021-12-13 11:33:58.954,2.6788572830892683,10.336596267192938,23,50.88
45,224,12_2,DN1,2021-12-13 11:34:19.056,2021-12-13 11:34:29.946,18.138237140178003,11.691398388878714,25,10.89
46,379,28_1,*,2021-12-13 10:23:35.675,2021-12-13 10:24:30.982,16.04667150256633,5.6856273239220885,1,55.307
47,20,28_1,FS2,2021-12-13 10:24:38.052,2021-12-13 10:24:59.975,19.1871065087156,2.663676937649588,2,21.923
49,22,28_1,ES3,2021-12-13 10:25:23.040,2021-12-13 10:26:05.958,20.23468569336845,6.409873081151948,4,42.918
50,23,28_1,FN2,2021-12-13 10:26:12.028,2021-12-13 10:26:22.954,20.41944544250308,3.641856147719707,5,10.926
51,24,28_1,FN3,2021-12-13 10:26:24.025,2021-12-13 10:28:12.998,21.014466386027586,4.039235088900846,6,108.973
52,25,28_1,EN2,2021-12-13 10:28:26.102,2021-12-13 10:28:36.992,19.46909623851603,8.02623238382892,7,10.89
53,26,28_1,EN3,2021-12-13 10:28:40.098,2021-12-13 10:29:41.976,20.47861273469179,8.206777058068033,8,61.878
54,27,28_1,EN4,2021-12-13 10:29:47.082,2021-12-13 10:29:57.972,21.679284732742467,8.275907392543898,9,10.89
55,28,28_1,DS3,2021-12-13 10:30:04.077,2021-12-13 10:30:32.963,19.33937511110482,9.575225702770986,10,28.886
56,29,28_1,DN2,2021-12-13 10:30:44.067,2021-12-13 10:31:22.950,20.60853195740675,12.099221719853794,11,38.883
59,31,28_1,CN2,2021-12-13 10:32:00.048,2021-12-13 10:33:06.924,4.265300723936593,5.246201122025889,14,66.876
60,32,28_1,CN1,2021-12-13 10:33:11.031,2021-12-13 10:33:22.920,2.482882042782596,4.415035175499891,15,11.889
61,33,28_1,CS1,2021-12-13 10:33:32.025,2021-12-13 10:34:34.902,3.709599909359461,2.6210207729785804,16,62.877
62,381,28_1,*,2021-12-13 10:34:45.007,2021-12-13 10:35:31.995,10.57108668148419,4.076444092610406,17,46.988
65,35,28_1,FS3,2021-12-13 10:35:59.060,2021-12-13 10:37:23.967,20.40352813940054,2.7049228191166703,20,84.907
67,37,28_1,FN2,2021-12-13 10:37:44.034,2021-12-13 10:38:03.957,19.000846967591325,5.211297729494741,22,19.923
68,38,28_1,AN2,2021-12-13 10:39:00.015,2021-12-13 10:39:23.937,3.765695574881208,12.19548964679272,23,23.922
69,402,28_2,*,2021-12-13 11:19:15.039,2021-12-13 11:19:28.929,10.667289921666825,9.25889837094322,1,13.89
73,228,28_2,DS1,2021-12-13 11:21:03.012,2021-12-13 11:21:17.902,19.04064489765176,8.840371871511438,5,14.89
74,229,28_2,DN3,2021-12-13 11:21:30.006,2021-12-13 11:21:54.999,20.327479358665236,12.044770002846024,6,24.993
75,230,28_2,AN2,2021-12-13 11:22:19.065,2021-12-13 11:23:01.983,4.168908680686303,12.47795235223605,7,42.918
76,231,28_2,BN2,2021-12-13 11:23:10.052,2021-12-13 11:27:02.994,4.13901030271679,7.981582414498234,8,232.942
78,404,28_2,*,2021-12-13 11:27:40.056,2021-12-13 11:27:50.161,18.498120945047237,0.6820281183827586,10,10.105
80,233,28_2,FS2,2021-12-13 11:28:04.050,2021-12-13 11:28:20.974,19.417659185603924,2.365134208387152,12,16.924
81,234,28_2,FS1,2021-12-13 11:28:25.045,2021-12-13 11:28:47.968,18.44171054015096,2.649178550645603,13,22.923
82,235,28_2,FS2,2021-12-13 11:28:49.039,2021-12-13 11:29:28.957,19.163551076179008,2.707133340370666,14,39.918
85,238,28_2,DS2,2021-12-13 11:29:58.021,2021-12-13 11:31:26.999,19.94458993399004,9.885890300464927,17,88.978
86,405,28_2,*,2021-12-13 11:31:59.099,2021-12-13 11:34:39.951,10.431398896239449,4.081170861685516,18,160.852
87,383,38_1,*,2021-12-13 10:23:35.682,2021-12-13 10:24:29.989,15.17024752816697,11.383096605551282,1,54.307
88,39,38_1,CN2,2021-12-13 10:24:44.057,2021-12-13 10:26:14.963,4.354073119573397,4.41177314235973,2,90.906
89,40,38_1,CN1,2021-12-13 10:26:17.034,2021-12-13 10:28:11.934,3.240344734575671,4.545561812618091,3,114.9
90,41,38_1,CS3,2021-12-13 10:28:22.003,2021-12-13 10:29:26.987,5.817989452972111,2.6839021278792154,4,64.984
91,42,38_1,CS1,2021-12-13 10:29:34.092,2021-12-13 10:31:13.960,3.4893629578674186,2.6889119006533155,5,99.868
92,43,38_1,BS2,2021-12-13 10:31:26.064,2021-12-13 10:31:39.953,5.188329292277488,5.773193657736279,6,13.889
93,44,38_1,BS1,2021-12-13 10:31:44.059,2021-12-13 10:34:00.918,3.0472775365500877,6.305675810966103,7,136.859
94,45,38_1,BN1,2021-12-13 10:34:06.024,2021-12-13 10:35:06.902,2.5288975382479446,8.502987424574682,8,60.878
95,46,38_1,BN2,2021-12-13 10:35:08.008,2021-12-13 10:35:55.996,2.853538669342237,8.43378418496167,9,47.988
96,47,38_1,AS1,2021-12-13 10:35:58.067,2021-12-13 10:36:56.981,3.2242866863596653,10.234556502886376,10,58.914
98,49,38_1,AN2,2021-12-13 10:37:17.048,2021-12-13 10:38:50.953,3.32914961645643,12.27556603982972,12,93.905
99,50,38_1,AN3,2021-12-13 10:38:53.024,2021-12-13 10:39:23.944,5.091421722541265,12.05486856699186,13,30.92
100,406,38_2,*,2021-12-13 11:19:13.297,2021-12-13 11:19:29.936,14.355490660653146,4.331533966690494,1,16.639
101,239,38_2,FS1,2021-12-13 11:19:36.041,2021-12-13 11:20:55.914,18.425771461054843,2.5173386217183,2,79.873
102,240,38_2,FS2,2021-12-13 11:20:58.021,2021-12-13 11:21:20.908,19.36448142084129,2.344173077363812,3,22.887
103,241,38_2,FS3,2021-12-13 11:21:23.015,2021-12-13 11:23:27.983,20.43942800479364,2.3751674508870155,4,124.968
